"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"23.20","24.20","","53","0","0","","0","0","1.40","4.20","104","Безоблачно","2026-08-05 06:00"
"24.80","24.20","","42","0","0","","0","0","0.70","4.20","94","Безоблачно","2026-08-05 07:00"
"26.00","24.20","","38","0","0","","0","0","0.90","3.90","33","Безоблачно","2026-08-05 08:00"
"26.90","24.20","","36","0","0","","0","0","1.10","3.80","13","Безоблачно","2026-08-05 09:00"
"27.50","24.20","","35","0","0","","0","0","1.60","4.70","360","Малооблачно","2026-08-05 10:00"
"29.50","24.20","","33","0","0","","0","0","2.20","6.00","343","Облачно","2026-08-05 11:00"
"28.80","24.20","","35","0","0","","0","0","2.40","6.40","339","Облачно","2026-08-05 12:00"
"29.50","25.00","","34","0","0","","0","0","2.70","6.90","353","Облачно","2026-08-05 13:00"
"29.20","25.00","","35","0","0","","0","0","2.80","7.30","5","Пасмурно","2026-08-05 14:00"
"28.50","25.00","","37","0","0","","0","0","2.90","7.60","22","Облачно","2026-08-05 15:00"
"26.70","25.00","","41","0","0","","0","0","2.10","7.50","41","Безоблачно","2026-08-05 16:00"
"23.70","25.00","","49","0","0","","0","0","1.10","6.60","56","Безоблачно","2026-08-05 17:00"
"22.50","24.80","","55","0","0","","0","0","0.80","3.80","68","Малооблачно","2026-08-05 18:00"
"21.20","24.80","","57","0","0","","0","0","0.70","2.90","81","Малооблачно","2026-08-05 19:00"
"20.50","24.80","","59","0","0","","0","0","0.50","2.80","96","Малооблачно","2026-08-05 20:00"
"18.90","24.80","","64","0","0","","0","0","0.20","1.20","113","Малооблачно","2026-08-05 22:00"
"19.40","24.80","","63","0","0","","0","0","0.50","2.60","146","Безоблачно","2026-08-05 23:00"
