"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"14.00","","13.00","73","750","999","","","","1.20","2.20","nw","0","2026-07-18 00:00"
"12.00","","11.00","59","748","997","","","","0.00","6.30","c","0","2026-07-18 00:30"
"15.00","","14.00","59","747","995","","","","0.00","6.30","c","0","2026-07-18 01:00"
"14.00","","13.00","72","747","995","","","","1.30","6.40","n","0","2026-07-18 01:30"
"16.00","","15.00","72","747","995","","","","1.20","6.40","n","0","2026-07-18 02:00"
"16.00","","15.00","72","749","998","","","","1.10","1.50","nw","0","2026-07-18 02:30"
"14.00","","13.00","72","750","999","","","","1.10","1.50","nw","0","2026-07-18 03:00"
"15.00","","14.00","67","748","997","","","","1.30","7.30","n","0","2026-07-18 03:30"
"16.00","","15.00","62","747","995","","","","1.60","7.30","n","0","2026-07-18 04:00"
"17.00","","16.00","58","747","995","","","","1.70","8.10","n","0","2026-07-18 04:30"
"17.00","","15.00","54","747","995","","","","1.70","8.10","n","0","2026-07-18 05:00"
"19.00","","18.00","55","749","998","","","","1.70","3.10","n","0","2026-07-18 05:30"
"19.00","","18.00","53","750","999","","","","1.70","3.10","n","0","2026-07-18 06:00"
"21.00","","21.00","40","748","997","","","","1.00","9.50","nw","0","2026-07-18 06:30"
"22.00","","22.00","40","747","995","","","","1.00","9.50","nw","0","2026-07-18 07:00"
"23.00","","23.00","40","747","995","","","","2.10","10.10","n","0","2026-07-18 07:30"
"24.00","","24.00","39","747","995","","","","2.20","10.10","n","0","2026-07-18 08:00"
"24.00","","25.00","40","748","997","","","","2.10","5.10","n","0","2026-07-18 08:30"
"24.00","","25.00","41","749","998","","","","2.00","5.10","n","0","2026-07-18 09:00"
"26.00","","28.00","36","747","995","","","","1.00","10.10","e","0","2026-07-18 09:30"
"25.00","","25.00","35","746","994","","","","2.20","10.10","n","0","2026-07-18 10:30"
"25.00","","25.00","33","746","994","","","","2.10","10.10","n","0","2026-07-18 11:00"
"24.00","","23.00","35","748","997","","","","1.90","4.70","n","0","2026-07-18 11:30"
"26.00","","26.00","36","749","998","","","","1.80","4.70","n","0","2026-07-18 12:00"
"27.00","","26.00","31","747","995","","","","1.00","10.90","s","0","2026-07-18 12:30"
"26.00","","25.00","31","746","994","","","","1.00","10.90","s","0","2026-07-18 13:00"
"26.00","","24.00","32","745","993","","","","2.00","10.00","n","0","2026-07-18 13:30"
"27.00","","25.00","32","745","993","","","","1.90","10.00","n","0","2026-07-18 14:00"
"26.00","","24.00","33","747","995","","","","1.70","3.00","e","0","2026-07-18 14:30"
"27.00","","26.00","34","748","997","","","","1.50","3.00","e","0","2026-07-18 15:00"
"26.00","","26.00","40","746","994","","","","1.00","9.80","se","0","2026-07-18 15:30"
"26.00","","26.00","40","745","993","","","","1.00","9.80","se","0","2026-07-18 16:00"
"25.00","","24.00","39","745","993","","","","1.70","9.60","n","0","2026-07-18 16:30"
"24.00","","23.00","43","745","993","","","","1.60","9.50","ne","0","2026-07-18 17:00"
"22.00","","22.00","54","748","997","","","","1.20","1.90","se","0","2026-07-18 18:00"
"21.00","","21.00","49","746","994","","","","0.00","8.70","c","0","2026-07-18 18:30"
"22.00","","22.00","49","745","993","","","","0.00","8.70","c","0","2026-07-18 19:00"
"20.00","","19.00","57","747","995","","","","1.40","8.60","n","0","2026-07-18 19:30"
"20.00","","20.00","61","745","993","","","","1.40","8.50","n","0","2026-07-18 20:00"
"19.00","","19.00","62","747","995","","","","1.20","1.70","sw","0","2026-07-18 20:30"
"19.00","","19.00","65","748","997","","","","1.10","1.70","sw","0","2026-07-18 21:00"
"19.00","","19.00","65","747","995","","","","1.20","8.40","nw","0","2026-07-18 21:30"
"17.00","","16.00","65","746","994","","","","1.30","8.40","nw","0","2026-07-18 22:00"
"18.00","","17.00","65","746","994","","","","1.30","8.20","nw","0","2026-07-18 22:30"
"17.00","","16.00","65","746","994","","","","1.20","8.20","nw","0","2026-07-18 23:00"
"16.00","","15.00","69","747","995","","","","1.00","1.10","sw","0","2026-07-18 23:30"
