"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"1.00","","-5.00","81","745","993","","","","4.90","10.80","n","0","2026-04-10 00:00"
"1.00","","-3.00","77","745","993","","","","2.00","10.60","ne","0","2026-04-10 00:30"
"1.00","","-3.00","77","748","997","","","","2.00","10.60","ne","0","2026-04-10 01:00"
"0.00","","-6.00","80","746","994","","","","5.50","11.00","n","0","2026-04-10 01:30"
"1.00","","-5.00","78","745","993","","","","5.40","11.00","n","0","2026-04-10 02:00"
"1.00","","-5.00","74","744","991","","","","5.20","10.80","n","0","2026-04-10 02:30"
"1.00","","-5.00","74","744","991","","","","5.10","10.80","n","0","2026-04-10 03:00"
"1.00","","-4.00","64","743","990","","","","3.00","10.70","ne","0","2026-04-10 03:30"
"1.00","","-4.00","64","743","990","","","","3.00","10.70","ne","0","2026-04-10 04:00"
"0.00","","-6.00","80","745","993","","","","5.70","10.40","n","0","2026-04-10 04:30"
"0.00","","-6.00","78","743","990","","","","5.70","10.40","n","0","2026-04-10 05:00"
"0.00","","-6.00","83","744","991","","","","5.40","10.30","n","0","2026-04-10 05:30"
"0.00","","-6.00","82","744","991","","","","5.10","10.30","n","0","2026-04-10 06:00"
"1.00","","-4.00","68","744","991","","","","3.00","10.00","ne","0","2026-04-10 06:30"
"0.00","","-5.00","68","747","995","","","","3.00","10.00","ne","0","2026-04-10 07:00"
"2.00","","-4.00","80","745","993","","","","5.60","10.70","n","0","2026-04-10 07:30"
"1.00","","-5.00","81","744","991","","","","5.70","10.70","n","0","2026-04-10 08:00"
"1.00","","-5.00","83","744","991","","","","5.40","10.50","ne","0","2026-04-10 08:30"
"2.00","","-4.00","84","744","991","","","","5.30","10.50","ne","0","2026-04-10 09:00"
"2.00","","-3.00","78","744","991","","","","4.00","10.20","ne","0","2026-04-10 09:30"
"1.00","","-4.00","78","744","991","","","","4.00","10.20","ne","0","2026-04-10 10:00"
"2.00","","-4.00","82","746","994","","","","5.70","10.10","ne","0","2026-04-10 10:30"
"2.00","","-4.00","89","745","993","","","","5.60","10.10","ne","0","2026-04-10 11:00"
"3.00","","-2.00","90","745","993","","","","5.20","9.90","ne","0","2026-04-10 11:30"
"2.00","","-3.00","88","745","993","","","","4.80","9.90","ne","0","2026-04-10 12:00"
"3.00","","-2.00","82","745","993","","","","4.00","10.50","e","0","2026-04-10 12:30"
"3.00","","-2.00","82","747","995","","","","4.00","10.50","e","0","2026-04-10 13:00"
"4.00","","-1.00","86","746","994","","","","5.20","10.90","ne","0","2026-04-10 13:30"
"3.00","","-2.00","87","745","993","","","","5.00","10.90","ne","0","2026-04-10 14:00"
"4.00","","-1.00","86","746","994","","","","4.70","10.40","ne","0","2026-04-10 14:30"
"4.00","","-1.00","84","746","994","","","","4.40","10.40","ne","0","2026-04-10 15:00"
"4.00","","-1.00","79","746","994","","","","4.00","10.40","ne","0","2026-04-10 15:30"
"4.00","","-1.00","79","746","994","","","","4.00","10.40","ne","0","2026-04-10 16:00"
"4.00","","-1.00","84","748","997","","","","5.20","10.80","ne","0","2026-04-10 16:30"
"3.00","","-2.00","86","748","997","","","","5.10","10.80","ne","0","2026-04-10 17:00"
"4.00","","-1.00","84","748","997","","","","4.90","10.30","e","0","2026-04-10 17:30"
"4.00","","-1.00","85","748","997","","","","4.80","10.20","e","0","2026-04-10 18:00"
"4.00","","0.00","81","748","997","","","","3.00","10.00","e","0","2026-04-10 18:30"
"3.00","","-1.00","81","750","999","","","","3.00","10.00","e","0","2026-04-10 19:00"
"4.00","","-1.00","85","749","998","","","","5.00","9.80","e","0","2026-04-10 19:30"
"4.00","","-1.00","86","749","998","","","","4.90","9.80","e","0","2026-04-10 20:00"
"4.00","","-1.00","86","749","998","","","","4.80","9.70","e","0","2026-04-10 20:30"
"4.00","","-1.00","85","749","998","","","","4.50","9.70","e","0","2026-04-10 21:00"
"3.00","","-2.00","86","749","998","","","","4.50","9.50","ne","0","2026-04-10 21:30"
"4.00","","-1.00","87","750","999","","","","4.50","9.50","ne","0","2026-04-10 22:00"
"4.00","","-1.00","88","749","998","","","","4.60","9.60","ne","0","2026-04-10 22:30"
"4.00","","-1.00","88","749","998","","","","4.60","9.60","ne","0","2026-04-10 23:00"
"4.00","","-1.00","89","750","999","","","","4.30","9.40","e","0","2026-04-10 23:30"
