"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"2.10","3.70","","87","0","0","","0","0","1.10","4.40","159","Малооблачно","2026-04-10 00:00"
"1.80","3.70","","89","0","0","","0","0","0.80","4.40","162","Малооблачно","2026-04-10 01:00"
"1.50","3.70","","90","0","0","","0","0","0.70","3.20","159","Малооблачно","2026-04-10 02:00"
"1.70","3.70","","90","0","0","","0","0","0.80","3.30","158","Малооблачно","2026-04-10 03:00"
"3.00","3.70","","88","0","0","","0","0","1.50","5.70","160","Облачно","2026-04-10 04:00"
"4.20","3.70","","82","0","0","","0","0","3.30","7.80","175","Облачно","2026-04-10 05:00"
"5.10","3.70","","76","0","0","","0","0","3.50","7.90","177","Пасмурно","2026-04-10 06:00"
"7.10","3.70","","67","0","0","","0","0","7.70","9.10","173","Малооблачно","2026-04-10 07:00"
"8.40","3.80","","65","0","0","","1","0","7.30","9.30","172","Малооблачно, небольшой дождь","2026-04-10 08:00"
"9.50","3.80","","58","0","0","","1","0","7.60","9.70","179","Малооблачно","2026-04-10 09:00"
"10.10","3.90","","53","2","0","","1","2","7.80","10.10","183","Малооблачно, сильный дождь","2026-04-10 10:00"
"9.40","3.90","","53","0","0","","0","0","5.00","10.20","182","Облачно","2026-04-10 11:00"
"11.10","4.00","","45","0","0","","1","0","4.40","10.80","181","Облачно, небольшой дождь","2026-04-10 13:00"
"10.50","4.00","","48","0","0","","0","0","3.00","8.20","172","Облачно","2026-04-10 14:00"
"9.40","4.00","","54","0","0","","0","0","1.90","7.10","158","Малооблачно","2026-04-10 15:00"
"8.40","4.00","","57","0","0","","0","0","1.20","8.50","160","Облачно","2026-04-10 16:00"
"7.20","4.00","","62","0","0","","0","0","1.00","7.90","161","Малооблачно","2026-04-10 17:00"
"6.50","4.00","","67","0","0","","0","0","0.70","4.40","160","Облачно","2026-04-10 18:00"
"6.00","4.00","","69","0","0","","0","0","0.90","3.90","159","Облачно","2026-04-10 19:00"
"5.60","4.00","","73","0","0","","0","0","0.90","3.80","163","Облачно","2026-04-10 20:00"
"5.20","4.00","","76","0","0","","0","0","1.00","4.00","173","Малооблачно","2026-04-10 21:00"
"4.50","4.00","","79","0","0","","0","0","1.30","5.10","168","Пасмурно","2026-04-10 22:00"
"4.30","4.00","","87","0","0","","0","0","2.00","7.00","157","Пасмурно","2026-04-10 23:00"
