"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"2.20","2.90","","85","0","0","","0","0","5.50","9.60","268","Безоблачно","2026-04-06 00:00"
"1.50","2.90","","91","0","0","","0","0","5.80","9.60","267","Малооблачно","2026-04-06 01:00"
"0.90","2.90","","94","0","0","","0","0","5.80","9.60","268","Пасмурно","2026-04-06 02:00"
"0.90","2.90","","95","0","0","","0","0","5.70","9.60","265","Безоблачно","2026-04-06 03:00"
"1.80","2.90","","90","0","0","","0","0","6.00","9.80","266","Безоблачно","2026-04-06 04:00"
"3.90","2.90","","76","0","0","","0","0","8.50","10.80","268","Безоблачно","2026-04-06 05:00"
"5.60","2.90","","69","0","0","","0","0","9.60","11.20","274","Облачно","2026-04-06 06:00"
"6.10","2.90","","66","0","0","","0","0","9.40","11.30","277","Малооблачно","2026-04-06 07:00"
"7.80","3.00","","55","0","0","","0","0","8.60","10.00","276","Облачно","2026-04-06 08:00"
"8.70","3.00","","51","0","0","","0","0","5.00","10.20","273","Облачно","2026-04-06 09:00"
"9.40","3.10","","47","0","0","","0","0","5.90","12.20","269","Облачно","2026-04-06 10:00"
"10.50","3.10","","49","0","0","","0","0","9.00","10.40","268","Облачно","2026-04-06 11:00"
"11.20","3.20","","46","0","0","","0","0","8.20","10.10","269","Облачно","2026-04-06 12:00"
"12.00","3.20","","44","0","0","","0","0","7.30","12.30","270","Малооблачно","2026-04-06 13:00"
"11.50","3.20","","44","0","0","","0","0","5.40","9.70","270","Безоблачно","2026-04-06 14:00"
"10.50","3.20","","47","0","0","","0","0","3.20","9.10","264","Малооблачно","2026-04-06 15:00"
"9.10","3.20","","56","0","0","","0","0","1.00","7.70","248","Малооблачно","2026-04-06 16:00"
"8.30","3.20","","59","0","0","","0","0","0.30","4.70","228","Малооблачно","2026-04-06 17:00"
"8.00","3.20","","61","0","0","","0","0","0.00","1.60","216","Безоблачно","2026-04-06 18:00"
"6.80","3.20","","60","0","0","","0","0","0.80","4.40","211","Малооблачно","2026-04-06 19:00"
"6.80","3.20","","57","0","0","","0","0","1.50","5.80","207","Малооблачно","2026-04-06 20:00"
"6.80","3.20","","56","0","0","","0","0","2.40","7.90","200","Малооблачно","2026-04-06 21:00"
"6.60","3.20","","57","0","0","","0","0","3.00","7.90","189","Облачно","2026-04-06 22:00"
"6.20","3.20","","57","0","0","","0","0","4.30","8.00","184","Облачно","2026-04-06 23:00"
