"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"1.00","","-4.00","77","743","990","","","","3.30","9.30","nw","0","2025-11-15 14:30"
"1.00","","-4.00","77","743","990","","","","3.20","9.30","nw","0","2025-11-15 15:00"
"0.00","","-4.00","79","744","991","","","","2.00","9.40","w","0","2025-11-15 15:30"
"0.00","","-4.00","79","744","991","","","","2.00","9.40","w","0","2025-11-15 16:00"
"0.00","","-4.00","79","744","991","","","","2.00","9.40","w","0","2025-11-15 16:09"
"0.00","","-5.00","80","745","993","","","","3.50","8.80","w","0","2025-11-15 16:30"
"1.00","","-4.00","80","745","993","","","","3.40","8.90","w","0","2025-11-15 17:00"
"0.00","","-5.00","78","745","993","","","","3.10","8.20","w","0","2025-11-15 17:30"
"0.00","","-4.00","77","745","993","","","","2.80","8.20","w","0","2025-11-15 18:00"
"-1.00","","-5.00","71","746","994","","","","2.00","7.50","nw","0","2025-11-15 18:30"
"0.00","","-4.00","71","747","995","","","","2.00","7.50","nw","0","2025-11-15 19:00"
"-1.00","","-5.00","77","746","994","","","","2.50","6.60","w","0","2025-11-15 19:30"
"-1.00","","-5.00","80","746","994","","","","2.40","6.60","w","0","2025-11-15 20:00"
"-1.00","","-5.00","80","748","997","","","","2.10","3.90","w","0","2025-11-15 20:30"
"-2.00","","-6.00","80","748","997","","","","1.80","3.70","w","0","2025-11-15 21:00"
"-3.00","","-7.00","79","748","997","","","","1.80","3.30","w","0","2025-11-15 21:30"
"-2.00","","-6.00","80","748","997","","","","1.80","3.30","w","0","2025-11-15 22:00"
"-2.00","","-6.00","80","749","998","","","","1.80","2.40","w","0","2025-11-15 22:30"
"-2.00","","-6.00","80","749","998","","","","1.70","2.40","w","0","2025-11-15 23:00"
"-3.00","","-7.00","80","749","998","","","","1.50","2.30","w","0","2025-11-15 23:30"
