"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"0.00","","-3.00","92","730","973","","","","0.60","1.70","se","0","2026-02-13 00:00"
"0.00","","-3.00","88","731","974","","","","1.00","2.50","e","0","2026-02-13 00:30"
"-1.00","","-4.00","88","731","974","","","","1.00","2.10","e","0","2026-02-13 01:00"
"-1.00","","-4.00","91","732","975","","","","1.00","2.30","se","0","2026-02-13 01:30"
"0.00","","-3.00","92","731","974","","","","0.90","2.30","se","0","2026-02-13 02:00"
"0.00","","-3.00","97","731","974","","","","0.70","1.40","se","0","2026-02-13 02:30"
"0.00","","-2.00","98","730","973","","","","0.60","1.40","se","0","2026-02-13 03:00"
"0.00","","-2.00","91","730","973","","","","0.00","1.60","c","0","2026-02-13 03:30"
"-1.00","","-3.00","91","730","973","","","","0.00","1.60","c","0","2026-02-13 04:00"
"-2.00","","-5.00","94","731","974","","","","0.80","2.30","se","0","2026-02-13 04:30"
"-1.00","","-4.00","98","729","971","","","","0.70","1.70","se","0","2026-02-13 05:00"
"-1.00","","-4.00","97","729","971","","","","0.50","1.30","se","0","2026-02-13 05:30"
"0.00","","-2.00","95","729","971","","","","0.30","1.30","se","0","2026-02-13 06:00"
"1.00","","-2.00","92","730","973","","","","1.00","3.00","e","0","2026-02-13 06:30"
"0.00","","-3.00","92","733","977","","","","1.00","3.00","e","0","2026-02-13 07:00"
"0.00","","-3.00","94","731","974","","","","1.00","3.50","s","0","2026-02-13 07:30"
"0.00","","-3.00","94","730","973","","","","1.10","3.60","s","0","2026-02-13 08:00"
"1.00","","-2.00","96","730","973","","","","0.90","2.70","s","0","2026-02-13 08:30"
"1.00","","-2.00","92","732","975","","","","0.80","2.70","s","0","2026-02-13 09:00"
"2.00","","-1.00","88","732","975","","","","1.00","3.80","w","0","2026-02-13 09:30"
"1.00","","-2.00","88","734","978","","","","1.00","3.80","w","0","2026-02-13 10:00"
"1.00","","-2.00","92","733","977","","","","1.10","3.40","s","0","2026-02-13 10:30"
"1.00","","-2.00","97","732","975","","","","1.00","3.30","s","0","2026-02-13 11:00"
"2.00","","0.00","97","732","975","","","","0.90","2.00","s","0","2026-02-13 11:30"
"1.00","","-2.00","94","732","975","","","","0.80","2.00","s","0","2026-02-13 12:00"
"1.00","","-1.00","88","732","975","","","","0.00","2.50","c","0","2026-02-13 12:30"
"2.00","","0.00","88","735","979","","","","0.00","2.30","c","0","2026-02-13 13:00"
"1.00","","-2.00","93","734","978","","","","1.00","2.50","se","0","2026-02-13 13:30"
"2.00","","-1.00","97","733","977","","","","1.00","2.50","se","0","2026-02-13 14:00"
"1.00","","-2.00","97","732","975","","","","1.00","2.70","se","0","2026-02-13 14:30"
"1.00","","-2.00","97","732","975","","","","1.00","2.70","se","0","2026-02-13 15:00"
"2.00","","-1.00","90","733","977","","","","1.00","4.00","se","0","2026-02-13 15:30"
"1.00","","-2.00","90","735","979","","","","1.00","4.00","se","0","2026-02-13 16:00"
"2.00","","-1.00","94","734","978","","","","1.40","3.80","se","0","2026-02-13 16:30"
"1.00","","-2.00","95","732","975","","","","1.40","3.80","se","0","2026-02-13 17:00"
"1.00","","-2.00","95","732","975","","","","1.30","4.20","se","0","2026-02-13 17:30"
"2.00","","-1.00","95","732","975","","","","1.20","4.20","se","0","2026-02-13 18:00"
"1.00","","-2.00","92","732","975","","","","1.00","5.50","se","0","2026-02-13 18:30"
"2.00","","-1.00","92","732","975","","","","1.00","5.50","se","0","2026-02-13 19:00"
"1.00","","-2.00","95","733","977","","","","1.70","6.80","s","0","2026-02-13 19:30"
"1.00","","-2.00","94","732","975","","","","1.70","6.80","s","0","2026-02-13 20:00"
"1.00","","-2.00","92","733","977","","","","1.70","6.40","se","0","2026-02-13 20:30"
"2.00","","-1.00","90","733","977","","","","2.10","6.70","s","0","2026-02-13 21:00"
"2.00","","-1.00","93","732","975","","","","2.30","7.50","s","0","2026-02-13 21:30"
"2.00","","-2.00","98","734","978","","","","2.60","7.50","s","0","2026-02-13 22:00"
"1.00","","-3.00","96","733","977","","","","2.60","7.50","s","0","2026-02-13 22:30"
"2.00","","-2.00","92","732","975","","","","2.50","7.70","s","0","2026-02-13 23:00"
"2.00","","-2.00","91","733","977","","","","2.30","8.20","s","0","2026-02-13 23:30"
