"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-10.10","0.00","","81","0","0","","0","0","0.80","3.00","204","Малооблачно","2026-01-11 00:00"
"-8.10","0.00","","80","0","0","","0","0","0.80","3.00","167","Пасмурно","2026-01-11 01:00"
"-8.10","0.00","","76","0","0","","0","0","0.50","3.10","151","Пасмурно","2026-01-11 02:00"
"-8.00","0.00","","74","0","0","","0","0","0.90","3.20","136","Облачно","2026-01-11 03:00"
"-7.30","0.00","","80","0","0","","0","0","1.00","3.60","134","Пасмурно","2026-01-11 04:00"
"-6.50","0.00","","86","0","0","","0","0","2.00","4.30","133","Облачно","2026-01-11 05:00"
"-5.40","0.00","","83","0","0","","0","0","2.10","4.50","144","Облачно","2026-01-11 06:00"
"-5.70","0.00","","91","0","0","","2","0","2.00","4.60","141","Пасмурно, небольшой снег","2026-01-11 07:00"
"-4.70","0.00","","88","0","0","","2","0","2.10","4.40","140","Пасмурно, небольшой снег","2026-01-11 08:00"
"-4.10","0.00","","91","0","0","","2","0","2.10","5.40","129","Облачно, небольшой снег","2026-01-11 09:00"
"-2.90","0.00","","78","0","0","","0","0","2.30","6.10","137","Пасмурно","2026-01-11 10:00"
"-3.50","0.00","","86","0","0","","0","0","2.20","6.30","136","Пасмурно","2026-01-11 11:00"
"-3.50","0.00","","87","0","0","","0","0","2.20","6.40","147","Пасмурно","2026-01-11 12:00"
"-4.10","0.00","","88","0","0","","0","0","2.50","6.70","147","Пасмурно","2026-01-11 13:00"
"-4.60","0.00","","88","0","0","","0","0","3.50","7.40","151","Пасмурно","2026-01-11 14:00"
"-4.70","0.00","","86","0","0","","0","0","2.70","7.20","146","Пасмурно","2026-01-11 15:00"
"-4.70","0.00","","87","0","0","","0","0","3.20","7.30","144","Пасмурно","2026-01-11 16:00"
"-5.00","0.00","","93","0","0","","2","0","3.40","7.80","135","Пасмурно, небольшой снег","2026-01-11 17:00"
"-4.20","0.00","","84","0","0","","2","0","3.30","7.90","134","Пасмурно, небольшой снег","2026-01-11 18:00"
"-4.10","0.00","","87","0","0","","2","0","4.00","8.90","130","Пасмурно, небольшой снег","2026-01-11 19:00"
"-4.60","0.00","","90","1","0","","2","1","4.30","9.50","127","Пасмурно, снег","2026-01-11 20:00"
"-4.20","0.00","","95","1","0","","2","1","5.80","9.40","128","Пасмурно, снежные зёрна","2026-01-11 21:00"
"-3.30","0.00","","92","0","0","","2","0","5.70","9.50","131","Пасмурно, снежные зёрна","2026-01-11 22:00"
"-2.90","0.00","","90","0","0","","2","0","6.80","9.90","130","Пасмурно, небольшой снег","2026-01-11 23:00"
