"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-14.00","","-18.00","74","740","986","","","","1.30","4.10","s","0","2026-02-11 00:00"
"-14.00","","-19.00","74","740","986","","","","1.50","5.90","s","0","2026-02-11 00:30"
"-14.00","","-19.00","72","740","986","","","","1.70","5.90","s","0","2026-02-11 01:00"
"-14.00","","-19.00","71","741","987","","","","1.90","7.70","s","0","2026-02-11 01:30"
"-14.00","","-19.00","71","740","986","","","","2.00","7.70","s","0","2026-02-11 02:00"
"-14.00","","-19.00","70","739","985","","","","1.90","8.10","s","0","2026-02-11 02:30"
"-14.00","","-19.00","69","739","985","","","","1.90","8.10","s","0","2026-02-11 03:00"
"-14.00","","-19.00","68","738","983","","","","2.20","8.60","s","0","2026-02-11 03:30"
"-13.00","","-18.00","71","741","987","","","","2.50","8.60","s","0","2026-02-11 04:00"
"-12.00","","-17.00","70","739","985","","","","2.60","8.80","sw","0","2026-02-11 04:30"
"-13.00","","-18.00","67","737","982","","","","2.70","8.80","sw","0","2026-02-11 05:00"
"-12.00","","-17.00","66","737","982","","","","2.60","9.20","sw","0","2026-02-11 05:30"
"-12.00","","-17.00","65","737","982","","","","2.60","9.20","sw","0","2026-02-11 06:00"
"-11.00","","-15.00","62","738","983","","","","1.00","9.50","s","0","2026-02-11 06:30"
"-13.00","","-17.00","62","738","983","","","","1.00","9.50","s","0","2026-02-11 07:00"
"-12.00","","-18.00","67","739","985","","","","3.20","9.90","sw","0","2026-02-11 07:30"
"-11.00","","-17.00","71","737","982","","","","3.20","9.90","sw","0","2026-02-11 08:00"
"-10.00","","-16.00","74","737","982","","","","3.20","9.60","sw","0","2026-02-11 08:30"
"-9.00","","-14.00","75","737","982","","","","3.00","9.60","sw","0","2026-02-11 09:00"
"-8.00","","-12.00","66","737","982","","","","1.00","9.60","nw","0","2026-02-11 09:30"
"-8.00","","-12.00","66","737","982","","","","1.00","9.60","nw","0","2026-02-11 10:00"
"-8.00","","-13.00","75","739","985","","","","3.00","9.60","sw","0","2026-02-11 10:30"
"-8.00","","-13.00","77","737","982","","","","2.90","9.40","sw","0","2026-02-11 11:00"
"-7.00","","-12.00","77","736","981","","","","2.70","9.00","sw","0","2026-02-11 11:30"
"-7.00","","-12.00","77","736","981","","","","2.50","9.00","sw","0","2026-02-11 12:00"
"-6.00","","-9.00","76","736","981","","","","0.00","9.40","c","0","2026-02-11 12:30"
"-6.00","","-9.00","76","736","981","","","","0.00","9.40","c","0","2026-02-11 13:00"
"-6.00","","-11.00","80","737","982","","","","2.60","9.50","sw","0","2026-02-11 13:30"
"-6.00","","-11.00","85","736","981","","","","2.60","9.50","sw","0","2026-02-11 14:00"
"-7.00","","-12.00","83","736","981","","","","2.50","9.60","sw","0","2026-02-11 14:30"
"-7.00","","-12.00","81","736","981","","","","2.40","9.60","sw","0","2026-02-11 15:00"
"-6.00","","-10.00","81","736","981","","","","1.00","9.70","w","0","2026-02-11 15:30"
"-5.00","","-9.00","81","736","981","","","","1.00","9.70","w","0","2026-02-11 16:00"
"-5.00","","-10.00","83","737","982","","","","2.70","9.60","sw","0","2026-02-11 16:30"
"-6.00","","-11.00","81","736","981","","","","2.70","9.60","sw","0","2026-02-11 17:00"
"-6.00","","-11.00","78","736","981","","","","2.50","9.10","sw","0","2026-02-11 17:30"
"-6.00","","-11.00","81","736","981","","","","2.30","9.10","sw","0","2026-02-11 18:00"
"-6.00","","-10.00","79","736","981","","","","1.00","9.70","s","0","2026-02-11 18:30"
"-6.00","","-10.00","79","738","983","","","","1.00","9.70","s","0","2026-02-11 19:00"
"-5.00","","-10.00","80","736","981","","","","2.90","9.70","s","0","2026-02-11 19:30"
"-5.00","","-10.00","80","735","979","","","","2.90","9.80","sw","0","2026-02-11 20:00"
"-6.00","","-11.00","80","735","979","","","","2.80","9.60","s","0","2026-02-11 20:30"
"-5.00","","-10.00","81","735","979","","","","2.70","9.60","s","0","2026-02-11 21:00"
"-5.00","","-10.00","81","734","978","","","","2.80","10.00","s","0","2026-02-11 21:30"
"-5.00","","-10.00","81","734","978","","","","3.00","10.00","s","0","2026-02-11 22:00"
"-5.00","","-10.00","81","735","979","","","","3.00","10.10","s","0","2026-02-11 22:30"
"-5.00","","-10.00","83","735","979","","","","2.90","10.10","s","0","2026-02-11 23:00"
"-5.00","","-10.00","82","735","979","","","","2.80","9.50","s","0","2026-02-11 23:30"
