"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"15.00","","15.00","86","750","999","","","","1.70","2.80","sw","0","2026-08-31 00:00"
"15.00","","16.00","86","748","997","","","","0.00","8.20","c","0","2026-08-31 00:30"
"16.00","","17.00","86","749","998","","","","0.00","8.20","c","0","2026-08-31 01:00"
"16.00","","16.00","86","748","997","","","","1.50","7.40","w","0","2026-08-31 01:30"
"16.00","","16.00","86","748","997","","","","1.40","7.40","w","0","2026-08-31 02:00"
"16.00","","16.00","87","749","998","","","","1.40","2.40","w","0","2026-08-31 02:30"
"14.00","","14.00","88","750","999","","","","1.40","2.40","w","0","2026-08-31 03:00"
"15.00","","16.00","87","749","998","","","","0.00","9.20","c","0","2026-08-31 03:30"
"17.00","","19.00","87","750","999","","","","0.00","9.20","c","0","2026-08-31 04:00"
"17.00","","17.00","87","749","998","","","","1.60","8.20","w","0","2026-08-31 04:30"
"17.00","","17.00","83","748","997","","","","1.70","8.10","w","0","2026-08-31 05:00"
"17.00","","17.00","81","750","999","","","","1.70","2.20","w","0","2026-08-31 05:30"
"17.00","","17.00","80","751","1001","","","","1.70","2.20","w","0","2026-08-31 06:00"
"18.00","","19.00","80","749","998","","","","1.00","10.50","w","0","2026-08-31 06:30"
"17.00","","18.00","80","750","999","","","","1.00","10.50","w","0","2026-08-31 07:00"
"18.00","","18.00","67","749","998","","","","2.00","11.10","w","0","2026-08-31 07:30"
"18.00","","18.00","65","748","997","","","","2.20","11.20","w","0","2026-08-31 08:00"
"19.00","","19.00","62","749","998","","","","2.20","6.80","w","0","2026-08-31 08:30"
"19.00","","19.00","60","750","999","","","","2.20","6.80","w","0","2026-08-31 09:00"
"20.00","","22.00","70","748","997","","","","0.00","11.70","c","0","2026-08-31 09:30"
"19.00","","21.00","70","749","998","","","","0.00","11.70","c","0","2026-08-31 10:00"
"20.00","","19.00","51","748","997","","","","2.40","11.30","w","0","2026-08-31 10:30"
"20.00","","19.00","50","747","995","","","","2.30","11.30","w","0","2026-08-31 11:00"
"20.00","","19.00","49","749","998","","","","2.20","5.80","w","0","2026-08-31 11:30"
"20.00","","19.00","48","750","999","","","","2.10","5.80","w","0","2026-08-31 12:00"
"21.00","","21.00","60","748","997","","","","1.00","10.50","w","0","2026-08-31 12:30"
"20.00","","20.00","60","748","997","","","","1.00","10.50","w","0","2026-08-31 13:00"
"20.00","","18.00","48","747","995","","","","2.20","9.10","w","0","2026-08-31 13:30"
"20.00","","18.00","49","746","994","","","","2.20","9.10","w","0","2026-08-31 14:00"
"20.00","","19.00","51","748","997","","","","1.90","2.60","sw","0","2026-08-31 14:30"
"20.00","","19.00","52","749","998","","","","1.30","2.40","sw","0","2026-08-31 15:00"
"18.00","","18.00","65","747","995","","","","1.00","6.60","nw","0","2026-08-31 15:30"
"20.00","","20.00","65","749","998","","","","1.00","6.60","nw","0","2026-08-31 16:00"
"18.00","","17.00","62","747","995","","","","1.40","8.00","w","0","2026-08-31 16:30"
"18.00","","17.00","62","746","994","","","","1.40","8.00","w","0","2026-08-31 17:00"
"17.00","","16.00","66","748","997","","","","1.40","2.40","sw","0","2026-08-31 17:30"
"17.00","","16.00","69","749","998","","","","1.30","2.40","sw","0","2026-08-31 18:00"
"17.00","","18.00","74","747","995","","","","0.00","7.70","c","0","2026-08-31 18:30"
"18.00","","19.00","74","746","994","","","","0.00","7.70","c","0","2026-08-31 19:00"
"18.00","","18.00","75","747","995","","","","1.50","7.70","nw","0","2026-08-31 19:30"
"16.00","","15.00","77","747","995","","","","1.60","7.70","nw","0","2026-08-31 20:00"
"14.00","","13.00","79","749","998","","","","1.20","2.20","s","0","2026-08-31 20:30"
"15.00","","15.00","80","750","999","","","","1.20","2.20","s","0","2026-08-31 21:00"
"15.00","","14.00","79","748","997","","","","1.30","7.50","nw","0","2026-08-31 21:30"
"14.00","","13.00","79","747","995","","","","1.50","7.50","nw","0","2026-08-31 22:00"
"12.00","","11.00","80","747","995","","","","1.50","7.60","nw","0","2026-08-31 22:30"
"14.00","","13.00","80","747","995","","","","1.50","7.50","nw","0","2026-08-31 23:00"
"14.00","","13.00","82","749","998","","","","1.40","2.40","s","0","2026-08-31 23:30"
