"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-5.90","0.00","","88","0","0","","0","0","1.40","4.40","198","Пасмурно","2025-12-28 00:00"
"-4.70","0.00","","88","0","0","","0","0","2.70","4.40","206","Пасмурно","2025-12-28 01:00"
"-4.60","0.00","","86","0","0","","0","0","2.40","4.10","220","Пасмурно","2025-12-28 02:00"
"-4.80","0.00","","84","0","0","","0","0","1.90","4.10","221","Пасмурно","2025-12-28 03:00"
"-4.80","0.00","","86","0","0","","0","0","1.40","3.90","200","Пасмурно","2025-12-28 04:00"
"-5.30","0.00","","87","0","0","","0","0","1.60","3.60","186","Облачно","2025-12-28 05:00"
"-5.10","0.00","","89","0","0","","0","0","1.40","3.10","183","Облачно","2025-12-28 06:00"
"-4.80","0.00","","92","0","0","","0","0","1.40","3.10","154","Пасмурно","2025-12-28 07:00"
"-3.70","0.00","","89","0","0","","0","0","1.60","3.00","144","Облачно","2025-12-28 08:00"
"-3.60","0.00","","86","0","0","","0","0","1.80","3.00","149","Пасмурно","2025-12-28 09:00"
"-3.70","0.00","","87","0","0","","0","0","1.70","3.20","159","Пасмурно","2025-12-28 10:00"
"-3.10","0.00","","84","0","0","","0","0","1.30","3.10","142","Пасмурно","2025-12-28 11:00"
"-3.70","0.00","","88","0","0","","0","0","1.00","3.40","140","Пасмурно","2025-12-28 12:00"
"-4.40","0.00","","95","0","0","","0","0","1.20","3.60","143","Пасмурно","2025-12-28 13:00"
"-4.60","0.00","","93","0","0","","0","0","1.70","3.40","124","Пасмурно","2025-12-28 14:00"
"-3.90","0.00","","92","0","0","","0","0","1.90","3.90","126","Пасмурно","2025-12-28 15:00"
"-3.20","0.00","","90","0","0","","0","0","1.90","4.20","132","Пасмурно","2025-12-28 16:00"
"-3.40","0.00","","95","0","0","","0","0","2.80","4.30","128","Пасмурно","2025-12-28 17:00"
"-4.10","0.00","","95","0","0","","0","0","2.10","4.30","122","Пасмурно","2025-12-28 18:00"
"-4.60","0.00","","92","0","0","","2","0","1.50","4.20","124","Пасмурно, снежные зёрна","2025-12-28 19:00"
"-4.60","0.00","","93","0","0","","2","0","1.40","4.10","122","Пасмурно, снежные зёрна","2025-12-28 20:00"
"-4.20","0.00","","92","0","0","","0","0","1.10","3.40","103","Пасмурно","2025-12-28 21:00"
"-4.00","0.00","","95","0","0","","0","0","1.90","3.50","102","Пасмурно","2025-12-28 22:00"
"-4.20","0.00","","92","0","0","","0","0","2.20","4.00","108","Пасмурно","2025-12-28 23:00"
