"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"4.00","","1.00","75","746","994","","","","1.30","2.30","sw","0","2026-03-25 00:00"
"4.00","","1.00","52","746","994","","","","0.00","2.70","c","0","2026-03-25 00:30"
"6.00","","4.00","52","748","997","","","","0.00","2.70","c","0","2026-03-25 01:00"
"5.00","","2.00","75","747","995","","","","1.60","2.60","sw","0","2026-03-25 01:30"
"4.00","","1.00","77","746","994","","","","1.50","2.60","sw","0","2026-03-25 02:00"
"4.00","","1.00","76","746","994","","","","1.60","2.60","sw","0","2026-03-25 02:30"
"4.00","","1.00","77","746","994","","","","1.60","2.60","sw","0","2026-03-25 03:00"
"4.00","","2.00","56","746","994","","","","0.00","2.80","c","0","2026-03-25 03:30"
"5.00","","3.00","56","748","997","","","","0.00","2.80","c","0","2026-03-25 04:00"
"6.00","","3.00","73","747","995","","","","1.80","2.90","sw","0","2026-03-25 04:30"
"4.00","","1.00","71","746","994","","","","1.80","2.90","sw","0","2026-03-25 05:00"
"7.00","","4.00","70","746","994","","","","1.80","2.80","sw","0","2026-03-25 05:30"
"7.00","","4.00","68","746","994","","","","1.80","2.80","sw","0","2026-03-25 06:00"
"8.00","","5.00","64","746","994","","","","2.00","4.20","s","0","2026-03-25 06:30"
"8.00","","5.00","61","747","995","","","","2.20","4.00","s","0","2026-03-25 07:00"
"9.00","","6.00","57","746","994","","","","2.30","4.90","s","0","2026-03-25 07:30"
"9.00","","5.00","54","746","994","","","","2.30","4.90","s","0","2026-03-25 08:00"
"11.00","","8.00","50","746","994","","","","2.30","5.50","s","0","2026-03-25 08:30"
"10.00","","7.00","49","746","994","","","","2.30","5.50","s","0","2026-03-25 09:00"
"12.00","","9.00","47","745","993","","","","2.60","6.70","s","0","2026-03-25 09:30"
"12.00","","8.00","44","745","993","","","","2.90","6.70","s","0","2026-03-25 10:00"
"13.00","","9.00","42","745","993","","","","2.90","6.90","s","0","2026-03-25 10:30"
"13.00","","9.00","42","745","993","","","","2.70","6.60","s","0","2026-03-25 11:00"
"14.00","","10.00","40","745","993","","","","2.60","6.20","s","0","2026-03-25 11:30"
"13.00","","9.00","38","745","993","","","","2.60","6.20","s","0","2026-03-25 12:00"
"13.00","","9.00","39","745","993","","","","2.70","6.90","s","0","2026-03-25 12:30"
"13.00","","9.00","39","745","993","","","","2.80","6.90","s","0","2026-03-25 13:00"
"13.00","","9.00","38","745","993","","","","2.70","6.20","s","0","2026-03-25 13:30"
"13.00","","9.00","43","744","991","","","","2.60","6.20","s","0","2026-03-25 14:00"
"11.00","","7.00","43","744","991","","","","2.30","4.00","s","0","2026-03-25 14:30"
"12.00","","8.00","44","744","991","","","","2.20","4.30","s","0","2026-03-25 15:00"
"10.00","","6.00","51","744","991","","","","2.30","4.70","s","0","2026-03-25 15:30"
"10.00","","7.00","57","744","991","","","","2.40","4.70","s","0","2026-03-25 16:00"
"9.00","","6.00","60","745","993","","","","2.40","4.90","s","0","2026-03-25 16:30"
"8.00","","5.00","62","745","993","","","","2.30","4.90","s","0","2026-03-25 17:00"
"7.00","","4.00","63","745","993","","","","2.20","4.10","s","0","2026-03-25 17:30"
"8.00","","5.00","63","745","993","","","","2.10","4.10","s","0","2026-03-25 18:00"
"7.00","","4.00","65","745","993","","","","2.20","4.80","s","0","2026-03-25 18:30"
"6.00","","2.00","66","746","994","","","","2.20","4.60","s","0","2026-03-25 19:00"
"5.00","","1.00","68","745","993","","","","2.20","4.70","s","0","2026-03-25 19:30"
"5.00","","1.00","70","745","993","","","","2.20","4.70","s","0","2026-03-25 20:00"
"5.00","","2.00","70","745","993","","","","2.00","3.60","s","0","2026-03-25 20:30"
"4.00","","0.00","68","745","993","","","","1.90","3.90","s","0","2026-03-25 21:00"
"4.00","","0.00","70","745","993","","","","2.00","3.60","s","0","2026-03-25 21:30"
"6.00","","3.00","70","745","993","","","","2.00","3.60","s","0","2026-03-25 22:00"
"5.00","","2.00","70","745","993","","","","2.00","3.50","s","0","2026-03-25 22:30"
"5.00","","2.00","72","745","993","","","","2.00","3.50","s","0","2026-03-25 23:00"
"4.00","","1.00","73","746","994","","","","1.70","2.50","se","0","2026-03-25 23:30"
