"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"2.00","","-2.00","85","747","995","","","","3.10","8.50","n","0","2026-04-20 00:00"
"2.00","","-2.00","81","747","995","","","","2.00","8.90","nw","0","2026-04-20 00:30"
"2.00","","-2.00","81","747","995","","","","2.00","8.90","nw","0","2026-04-20 01:00"
"2.00","","-3.00","82","746","994","","","","3.60","9.40","n","0","2026-04-20 01:30"
"2.00","","-3.00","82","746","994","","","","3.50","9.30","n","0","2026-04-20 02:00"
"2.00","","-3.00","82","746","994","","","","3.50","9.40","n","0","2026-04-20 02:30"
"2.00","","-3.00","81","746","994","","","","3.50","9.40","n","0","2026-04-20 03:00"
"2.00","","-2.00","65","746","994","","","","2.00","10.30","ne","0","2026-04-20 03:30"
"1.00","","-3.00","65","746","994","","","","2.00","10.30","ne","0","2026-04-20 04:00"
"1.00","","-5.00","75","746","994","","","","4.60","10.50","n","0","2026-04-20 04:30"
"1.00","","-5.00","67","746","994","","","","4.70","10.50","n","0","2026-04-20 05:00"
"1.00","","-5.00","64","746","994","","","","4.70","11.00","n","0","2026-04-20 05:30"
"2.00","","-4.00","62","746","994","","","","4.70","11.00","n","0","2026-04-20 06:00"
"4.00","","0.00","54","746","994","","","","2.00","11.80","ne","0","2026-04-20 06:30"
"3.00","","-1.00","54","746","994","","","","2.00","11.80","ne","0","2026-04-20 07:00"
"3.00","","-4.00","52","746","994","","","","6.40","12.00","n","0","2026-04-20 07:30"
"3.00","","-5.00","46","745","993","","","","6.60","12.00","n","0","2026-04-20 08:00"
"3.00","","-5.00","45","745","993","","","","6.60","11.90","n","0","2026-04-20 08:30"
"3.00","","-4.00","43","745","993","","","","6.20","11.90","n","0","2026-04-20 09:00"
"4.00","","0.00","34","746","994","","","","2.00","12.20","ne","0","2026-04-20 09:30"
"3.00","","-2.00","34","746","994","","","","2.00","12.20","ne","0","2026-04-20 10:00"
"4.00","","-4.00","42","746","994","","","","7.40","12.00","n","0","2026-04-20 10:30"
"5.00","","-3.00","42","746","994","","","","7.50","12.10","n","0","2026-04-20 11:00"
"5.00","","-3.00","43","745","993","","","","6.90","11.40","n","0","2026-04-20 11:30"
"5.00","","-2.00","44","745","993","","","","6.30","11.40","n","0","2026-04-20 12:00"
"5.00","","-1.00","34","745","993","","","","4.00","10.80","ne","0","2026-04-20 12:30"
"5.00","","-1.00","34","745","993","","","","4.00","10.80","ne","0","2026-04-20 13:00"
"5.00","","-2.00","47","745","993","","","","5.50","10.50","n","0","2026-04-20 13:30"
"5.00","","-1.00","48","745","993","","","","5.20","10.50","n","0","2026-04-20 14:00"
"4.00","","-2.00","48","746","994","","","","4.80","10.40","n","0","2026-04-20 14:30"
"4.00","","-2.00","48","746","994","","","","4.50","10.40","n","0","2026-04-20 15:00"
"3.00","","-2.00","41","745","993","","","","3.00","10.60","ne","0","2026-04-20 15:30"
"3.00","","-2.00","41","745","993","","","","3.00","10.60","ne","0","2026-04-20 16:00"
"3.00","","-3.00","54","746","994","","","","4.60","11.10","n","0","2026-04-20 16:30"
"3.00","","-3.00","54","746","994","","","","4.50","11.10","n","0","2026-04-20 17:00"
"3.00","","-3.00","53","745","993","","","","4.20","10.30","n","0","2026-04-20 17:30"
"2.00","","-4.00","53","745","993","","","","4.00","10.30","n","0","2026-04-20 18:00"
"3.00","","-1.00","50","745","993","","","","2.00","10.50","nw","0","2026-04-20 18:30"
"3.00","","-1.00","50","745","993","","","","2.00","10.60","nw","0","2026-04-20 19:00"
"2.00","","-4.00","54","746","994","","","","4.20","10.10","n","0","2026-04-20 19:30"
"3.00","","-3.00","57","745","993","","","","4.20","10.10","n","0","2026-04-20 20:00"
"3.00","","-2.00","57","745","993","","","","3.80","9.70","n","0","2026-04-20 20:30"
"3.00","","-2.00","56","744","991","","","","3.70","9.70","n","0","2026-04-20 21:00"
"2.00","","-3.00","55","744","991","","","","3.90","10.40","n","0","2026-04-20 21:30"
"3.00","","-2.00","55","744","991","","","","4.10","10.40","n","0","2026-04-20 22:00"
"3.00","","-3.00","56","745","993","","","","4.10","10.40","n","0","2026-04-20 22:30"
"3.00","","-3.00","58","745","993","","","","4.20","10.40","n","0","2026-04-20 23:00"
"3.00","","-3.00","56","744","991","","","","4.10","10.20","n","0","2026-04-20 23:30"
