"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-2.00","","-7.00","79","753","1003","","","","2.90","8.20","se","0","2025-11-21 00:00"
"-2.00","","-5.00","81","753","1003","","","","1.00","8.00","se","0","2025-11-21 00:30"
"-1.00","","-4.00","81","753","1003","","","","1.00","8.00","se","0","2025-11-21 01:00"
"-1.00","","-6.00","85","752","1002","","","","3.10","8.00","se","0","2025-11-21 01:30"
"-1.00","","-6.00","86","752","1002","","","","3.20","8.00","se","0","2025-11-21 02:00"
"0.00","","-4.00","86","752","1002","","","","3.00","8.10","se","0","2025-11-21 02:30"
"-1.00","","-5.00","87","752","1002","","","","2.90","8.10","se","0","2025-11-21 03:00"
"-1.00","","-4.00","88","751","1001","","","","1.00","8.10","se","0","2025-11-21 03:30"
"-2.00","","-5.00","88","751","1001","","","","1.00","8.10","se","0","2025-11-21 04:00"
"-2.00","","-7.00","89","751","1001","","","","3.00","7.70","se","0","2025-11-21 04:30"
"-1.00","","-6.00","89","751","1001","","","","3.00","7.70","se","0","2025-11-21 05:00"
"-1.00","","-5.00","90","751","1001","","","","2.70","6.50","se","0","2025-11-21 05:30"
"-1.00","","-5.00","90","751","1001","","","","2.20","6.50","se","0","2025-11-21 06:00"
"-1.00","","-4.00","89","751","1001","","","","1.00","6.40","se","0","2025-11-21 06:30"
"0.00","","-3.00","89","751","1001","","","","1.00","6.40","se","0","2025-11-21 07:00"
"0.00","","-4.00","91","751","1001","","","","2.10","5.80","se","0","2025-11-21 07:30"
"0.00","","-4.00","91","751","1001","","","","2.00","5.70","se","0","2025-11-21 08:00"
"1.00","","-2.00","91","752","1002","","","","1.70","3.50","s","0","2025-11-21 08:30"
"1.00","","-2.00","91","752","1002","","","","1.50","3.50","s","0","2025-11-21 09:00"
"1.00","","-2.00","89","751","1001","","","","1.00","2.70","sw","0","2025-11-21 09:30"
"1.00","","-2.00","89","751","1001","","","","1.00","2.70","sw","0","2025-11-21 10:00"
"1.00","","-2.00","90","751","1001","","","","1.50","1.50","se","0","2025-11-21 10:30"
"1.00","","-2.00","90","751","1001","","","","1.40","2.50","se","0","2025-11-21 11:00"
"3.00","","0.00","90","751","1001","","","","1.10","1.80","se","0","2025-11-21 11:30"
"2.00","","0.00","90","751","1001","","","","0.80","1.80","se","0","2025-11-21 12:00"
"2.00","","-1.00","86","751","1001","","","","1.00","2.20","s","0","2025-11-21 12:30"
"2.00","","-1.00","86","751","1001","","","","1.00","2.20","s","0","2025-11-21 13:00"
"2.00","","-1.00","92","751","1001","","","","1.20","2.20","se","0","2025-11-21 13:30"
"3.00","","0.00","92","751","1001","","","","1.10","2.20","se","0","2025-11-21 14:00"
"3.00","","1.00","92","751","1001","","","","0.90","1.80","se","0","2025-11-21 14:30"
"2.00","","0.00","92","751","1001","","","","0.80","1.80","se","0","2025-11-21 15:00"
"2.00","","0.00","88","751","1001","","","","0.00","1.90","c","0","2025-11-21 15:30"
"2.00","","0.00","88","751","1001","","","","0.00","1.90","c","0","2025-11-21 16:00"
"2.00","","0.00","93","750","999","","","","0.80","1.90","se","0","2025-11-21 16:30"
"2.00","","-1.00","94","750","999","","","","0.90","2.00","se","0","2025-11-21 17:00"
"3.00","","1.00","94","750","999","","","","0.80","1.70","e","0","2025-11-21 17:30"
"3.00","","1.00","94","750","999","","","","0.70","1.70","e","0","2025-11-21 18:00"
"3.00","","1.00","90","749","998","","","","1.00","1.80","s","0","2025-11-21 18:30"
"2.00","","-1.00","90","752","1002","","","","1.00","1.80","s","0","2025-11-21 19:00"
"3.00","","1.00","93","750","999","","","","0.80","1.90","se","0","2025-11-21 19:30"
"3.00","","1.00","95","749","998","","","","0.80","1.90","se","0","2025-11-21 20:00"
"3.00","","1.00","95","748","997","","","","0.70","1.60","e","0","2025-11-21 20:30"
"2.00","","0.00","95","748","997","","","","0.60","1.60","e","0","2025-11-21 21:00"
"3.00","","1.00","95","748","997","","","","0.60","1.70","ne","0","2025-11-21 21:30"
"3.00","","1.00","95","748","997","","","","0.60","1.70","ne","0","2025-11-21 22:00"
"1.00","","-1.00","95","747","995","","","","0.60","1.70","ne","0","2025-11-21 22:30"
"2.00","","0.00","95","747","995","","","","0.50","1.60","ne","0","2025-11-21 23:00"
"2.00","","0.00","94","747","995","","","","0.50","1.50","ne","0","2025-11-21 23:30"
