"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"10.20","15.40","","79","0","0","","0","0","1.80","7.10","204","Пасмурно","2026-05-28 00:00"
"10.60","15.40","","78","1","0","","1","1","2.30","7.70","216","Пасмурно, дождь","2026-05-28 01:00"
"10.60","15.20","","81","1","0","","1","1","2.10","7.40","203","Облачно, небольшой дождь","2026-05-28 02:00"
"10.90","15.20","","80","0","0","","0","0","4.20","8.70","243","Пасмурно","2026-05-28 03:00"
"11.60","15.20","","76","0","0","","0","0","4.10","9.10","261","Облачно","2026-05-28 04:00"
"12.20","15.20","","72","0","0","","1","0","6.00","9.90","269","Облачно, небольшой дождь","2026-05-28 05:00"
"12.90","15.20","","66","0","0","","1","0","6.60","10.70","271","Облачно, дождь","2026-05-28 06:00"
"12.10","15.20","","67","0","0","","0","0","6.30","11.20","272","Малооблачно","2026-05-28 07:00"
"12.70","15.20","","62","0","0","","1","0","7.50","10.40","272","Облачно, небольшой дождь","2026-05-28 08:00"
"13.50","15.20","","56","0","0","","1","0","7.70","10.40","269","Облачно","2026-05-28 09:00"
"13.40","15.20","","56","0","0","","1","0","7.40","8.60","271","Облачно, небольшой дождь","2026-05-28 10:00"
"15.00","15.20","","52","0","0","","1","0","9.70","13.30","272","Облачно, небольшой дождь","2026-05-28 11:00"
"14.90","15.20","","52","0","0","","1","0","9.30","16.10","273","Облачно, небольшой дождь","2026-05-28 12:00"
"15.20","15.20","","49","0","0","","0","0","8.50","13.20","270","Пасмурно","2026-05-28 13:00"
"14.30","15.10","","51","0","0","","0","0","8.60","12.00","274","Малооблачно","2026-05-28 14:00"
"13.10","15.10","","56","0","0","","0","0","6.40","10.00","272","Облачно","2026-05-28 15:00"
"11.70","15.10","","61","0","0","","0","0","2.70","8.00","268","Облачно","2026-05-28 16:00"
"10.10","15.10","","69","0","0","","0","0","0.20","7.70","259","Облачно","2026-05-28 17:00"
"9.00","15.10","","76","0","0","","0","0","0.00","0.50","253","Малооблачно","2026-05-28 18:00"
"8.00","15.10","","83","0","0","","0","0","0.00","0.50","254","Малооблачно","2026-05-28 19:00"
"7.20","15.10","","88","0","0","","0","0","0.00","0.50","250","Облачно","2026-05-28 20:00"
"6.50","15.10","","92","0","0","","0","0","0.00","0.50","249","Малооблачно","2026-05-28 21:00"
"5.90","15.10","","96","0","0","","0","0","0.00","0.50","247","Безоблачно","2026-05-28 22:00"
"6.20","15.10","","83","0","0","","0","0","1.60","7.80","242","Безоблачно","2026-05-28 23:00"
