"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"17.00","","16.00","70","743","990","","","","2.30","5.50","s","0","2026-07-28 00:00"
"17.00","","17.00","63","741","987","","","","0.00","12.00","c","0","2026-07-28 00:30"
"20.00","","21.00","63","740","986","","","","0.00","12.00","c","0","2026-07-28 01:00"
"19.00","","18.00","69","740","986","","","","2.50","11.50","se","0","2026-07-28 01:30"
"20.00","","20.00","69","740","986","","","","2.40","11.50","se","0","2026-07-28 02:00"
"20.00","","20.00","69","741","987","","","","2.30","4.50","s","0","2026-07-28 02:30"
"17.00","","16.00","69","742","989","","","","2.30","4.50","s","0","2026-07-28 03:00"
"18.00","","18.00","65","741","987","","","","1.00","11.20","se","0","2026-07-28 03:30"
"20.00","","20.00","65","740","986","","","","1.00","11.20","se","0","2026-07-28 04:00"
"21.00","","20.00","60","740","986","","","","2.70","13.70","se","0","2026-07-28 04:30"
"21.00","","20.00","57","740","986","","","","2.70","13.70","se","0","2026-07-28 05:00"
"23.00","","23.00","59","742","989","","","","2.70","9.90","s","0","2026-07-28 05:30"
"23.00","","23.00","59","743","990","","","","2.80","9.90","s","0","2026-07-28 06:00"
"24.00","","25.00","53","741","987","","","","1.00","16.00","se","0","2026-07-28 06:30"
"24.00","","25.00","53","740","986","","","","1.00","16.00","se","0","2026-07-28 07:00"
"26.00","","25.00","47","740","986","","","","3.70","15.90","se","0","2026-07-28 07:30"
"27.00","","26.00","45","740","986","","","","3.60","15.90","se","0","2026-07-28 08:00"
"28.00","","28.00","44","742","989","","","","3.50","11.40","se","0","2026-07-28 08:30"
"28.00","","28.00","44","743","990","","","","3.40","11.60","se","0","2026-07-28 09:00"
"28.00","","29.00","35","741","987","","","","1.00","18.50","s","0","2026-07-28 09:30"
"28.00","","29.00","35","740","986","","","","1.00","18.50","s","0","2026-07-28 10:00"
"27.00","","25.00","41","740","986","","","","4.40","18.70","s","0","2026-07-28 10:30"
"29.00","","28.00","41","740","986","","","","4.20","18.60","s","0","2026-07-28 11:00"
"29.00","","29.00","45","741","987","","","","3.80","4.50","s","0","2026-07-28 11:30"
"30.00","","31.00","48","742","989","","","","3.50","4.50","s","0","2026-07-28 12:00"
"29.00","","29.00","34","741","987","","","","1.00","5.40","se","0","2026-07-28 12:30"
"28.00","","28.00","34","740","986","","","","1.00","5.40","se","0","2026-07-28 13:00"
"27.00","","26.00","48","740","986","","","","4.20","5.20","se","0","2026-07-28 13:30"
"24.00","","22.00","51","740","986","","","","4.10","5.20","se","0","2026-07-28 14:00"
"24.00","","22.00","53","741","987","","","","3.80","4.70","s","0","2026-07-28 14:30"
"24.00","","23.00","53","742","989","","","","3.60","4.70","s","0","2026-07-28 15:00"
"24.00","","25.00","59","741","987","","","","1.00","3.80","e","0","2026-07-28 15:30"
"24.00","","25.00","59","740","986","","","","1.00","3.80","e","0","2026-07-28 16:00"
"22.00","","22.00","62","740","986","","","","2.30","3.00","ne","0","2026-07-28 16:30"
"20.00","","19.00","65","740","986","","","","2.10","3.20","ne","0","2026-07-28 17:00"
"19.00","","18.00","65","741","987","","","","2.00","2.90","s","0","2026-07-28 17:30"
"21.00","","21.00","68","742","989","","","","1.80","2.90","s","0","2026-07-28 18:00"
"19.00","","19.00","70","741","987","","","","1.00","3.00","sw","0","2026-07-28 18:30"
"19.00","","19.00","70","744","991","","","","1.00","3.00","sw","0","2026-07-28 19:00"
"18.00","","18.00","75","742","989","","","","1.90","2.90","ne","0","2026-07-28 19:30"
"19.00","","19.00","77","740","986","","","","1.80","2.90","ne","0","2026-07-28 20:00"
"18.00","","18.00","81","741","987","","","","1.70","2.60","se","0","2026-07-28 20:30"
"19.00","","20.00","84","742","989","","","","2.00","3.10","se","0","2026-07-28 21:00"
"17.00","","17.00","81","741","987","","","","2.00","3.10","ne","0","2026-07-28 21:30"
"18.00","","18.00","81","740","986","","","","2.10","3.10","ne","0","2026-07-28 22:00"
"18.00","","18.00","82","740","986","","","","2.20","3.40","ne","0","2026-07-28 22:30"
"17.00","","17.00","83","740","986","","","","2.30","3.40","ne","0","2026-07-28 23:00"
"17.00","","17.00","86","741","987","","","","2.10","3.00","s","0","2026-07-28 23:30"
