"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-9.50","0.00","","85","0","0","","0","0","1.60","5.00","85","Малооблачно","2026-02-26 00:00"
"-9.90","0.00","","91","0","0","","0","0","2.80","4.70","78","Пасмурно","2026-02-26 01:00"
"-10.40","0.00","","93","0","0","","0","0","2.20","4.60","72","Безоблачно","2026-02-26 02:00"
"-11.20","0.00","","100","0","0","","0","0","2.20","4.30","65","Малооблачно","2026-02-26 03:00"
"-11.30","0.00","","95","0","0","","0","0","2.50","4.20","70","Пасмурно","2026-02-26 04:00"
"-10.90","0.00","","89","0","0","","0","0","2.10","4.10","75","Малооблачно","2026-02-26 05:00"
"-11.10","0.00","","89","0","0","","0","0","2.00","4.30","80","Облачно","2026-02-26 06:00"
"-9.20","0.00","","79","0","0","","0","0","3.10","4.60","86","Пасмурно","2026-02-26 07:00"
"-8.30","0.00","","68","0","0","","0","0","3.30","4.90","89","Облачно","2026-02-26 08:00"
"-7.80","0.00","","58","0","0","","0","0","2.60","5.20","85","Облачно","2026-02-26 09:00"
"-7.40","0.00","","64","0","0","","0","0","3.20","5.20","86","Облачно","2026-02-26 10:00"
"-6.70","0.00","","59","0","0","","0","0","2.90","5.20","83","Малооблачно","2026-02-26 11:00"
"-6.80","0.00","","62","0","0","","0","0","2.30","4.90","77","Малооблачно","2026-02-26 12:00"
"-7.20","0.00","","64","0","0","","0","0","2.20","4.80","80","Облачно","2026-02-26 13:00"
"-7.90","0.00","","64","0","0","","0","0","2.10","4.70","71","Облачно","2026-02-26 14:00"
"-8.80","0.00","","63","0","0","","0","0","1.80","4.60","75","Облачно","2026-02-26 15:00"
"-10.00","0.00","","67","0","0","","0","0","1.50","4.20","78","Облачно","2026-02-26 16:00"
"-11.00","0.00","","68","0","0","","0","0","1.50","4.30","81","Облачно","2026-02-26 17:00"
"-11.50","0.00","","69","0","0","","0","0","1.60","4.10","80","Пасмурно","2026-02-26 18:00"
"-11.70","0.00","","72","0","0","","0","0","1.10","4.00","77","Пасмурно","2026-02-26 19:00"
"-12.30","0.00","","75","0","0","","0","0","1.30","4.20","72","Пасмурно","2026-02-26 20:00"
"-12.90","0.00","","75","0","0","","0","0","1.00","4.00","59","Пасмурно","2026-02-26 21:00"
"-13.00","0.00","","77","0","0","","0","0","1.10","3.60","57","Пасмурно","2026-02-26 22:00"
"-13.50","0.00","","77","0","0","","0","0","1.40","3.40","57","Пасмурно","2026-02-26 23:00"
