"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-1.00","","-5.00","87","735","979","","","","1.90","8.10","se","0","2026-01-10 00:00"
"-2.00","","-5.00","94","735","979","","","","1.00","8.00","se","0","2026-01-10 00:30"
"-2.00","","-5.00","94","736","981","","","","1.00","8.30","se","0","2026-01-10 01:00"
"-2.00","","-6.00","87","736","981","","","","2.40","8.70","se","0","2026-01-10 01:30"
"-2.00","","-6.00","84","736","981","","","","2.40","8.70","se","0","2026-01-10 02:00"
"-3.00","","-7.00","82","736","981","","","","2.30","7.70","se","0","2026-01-10 02:30"
"-3.00","","-7.00","79","736","981","","","","2.10","7.70","se","0","2026-01-10 03:00"
"-4.00","","-7.00","87","736","981","","","","1.00","6.90","se","0","2026-01-10 03:30"
"-2.00","","-5.00","87","737","982","","","","1.00","6.90","se","0","2026-01-10 04:00"
"-3.00","","-7.00","84","737","982","","","","1.70","6.10","se","0","2026-01-10 04:30"
"-4.00","","-8.00","83","736","981","","","","1.40","5.50","se","0","2026-01-10 05:00"
"-5.00","","-9.00","81","737","982","","","","1.20","3.60","e","0","2026-01-10 05:30"
"-5.00","","-9.00","80","737","982","","","","1.10","3.60","e","0","2026-01-10 06:00"
"-6.00","","-10.00","75","737","982","","","","1.00","5.10","se","0","2026-01-10 06:30"
"-3.00","","-6.00","75","738","983","","","","1.00","5.10","se","0","2026-01-10 07:00"
"-4.00","","-8.00","77","738","983","","","","1.60","4.90","se","0","2026-01-10 07:30"
"-4.00","","-8.00","78","738","983","","","","1.20","4.10","se","0","2026-01-10 08:00"
"-4.00","","-8.00","78","738","983","","","","1.20","3.90","se","0","2026-01-10 08:30"
"-4.00","","-8.00","78","738","983","","","","1.30","3.90","se","0","2026-01-10 09:00"
"-5.00","","-9.00","77","738","983","","","","1.50","4.80","se","0","2026-01-10 09:30"
"-5.00","","-9.00","77","738","983","","","","1.70","4.80","se","0","2026-01-10 10:00"
"-5.00","","-9.00","76","738","983","","","","1.70","4.50","e","0","2026-01-10 10:30"
"-5.00","","-9.00","75","738","983","","","","1.60","4.50","e","0","2026-01-10 11:00"
"-5.00","","-9.00","73","738","983","","","","1.50","4.10","e","0","2026-01-10 11:30"
"-6.00","","-10.00","72","738","983","","","","1.40","4.10","e","0","2026-01-10 12:00"
"-6.00","","-10.00","67","738","983","","","","1.00","4.10","se","0","2026-01-10 12:30"
"-5.00","","-9.00","67","739","985","","","","1.00","4.10","se","0","2026-01-10 13:00"
"-7.00","","-11.00","72","738","983","","","","1.70","2.90","e","0","2026-01-10 13:30"
"-6.00","","-10.00","76","738","983","","","","1.60","2.90","e","0","2026-01-10 14:00"
"-7.00","","-11.00","76","738","983","","","","1.30","1.80","e","0","2026-01-10 14:30"
"-7.00","","-11.00","76","738","983","","","","1.10","1.80","e","0","2026-01-10 15:00"
"-7.00","","-11.00","78","738","983","","","","1.20","2.30","e","0","2026-01-10 15:30"
"-6.00","","-10.00","79","738","983","","","","1.20","2.30","e","0","2026-01-10 16:00"
"-6.00","","-10.00","80","738","983","","","","1.20","1.70","e","0","2026-01-10 16:30"
"-6.00","","-10.00","81","738","983","","","","1.10","1.70","e","0","2026-01-10 17:00"
"-7.00","","-11.00","82","739","985","","","","1.00","1.90","e","0","2026-01-10 17:30"
"-7.00","","-11.00","82","739","985","","","","0.90","1.90","e","0","2026-01-10 18:00"
"-7.00","","-11.00","83","738","983","","","","1.00","1.20","e","0","2026-01-10 18:30"
"-6.00","","-10.00","83","738","983","","","","1.00","1.20","e","0","2026-01-10 19:00"
"-7.00","","-11.00","84","739","985","","","","1.20","1.60","e","0","2026-01-10 19:30"
"-6.00","","-10.00","83","739","985","","","","1.10","1.60","e","0","2026-01-10 20:00"
"-6.00","","-10.00","83","739","985","","","","0.90","0.80","e","0","2026-01-10 20:30"
"-6.00","","-10.00","80","738","983","","","","0.80","0.80","e","0","2026-01-10 21:00"
"-6.00","","-10.00","84","738","983","","","","0.90","1.60","e","0","2026-01-10 21:30"
"-7.00","","-11.00","84","739","985","","","","0.90","1.60","e","0","2026-01-10 22:00"
"-7.00","","-11.00","83","739","985","","","","0.90","1.60","e","0","2026-01-10 22:30"
"-6.00","","-9.00","83","739","985","","","","0.70","1.20","e","0","2026-01-10 23:00"
"-7.00","","-10.00","83","740","986","","","","0.50","1.30","ne","0","2026-01-10 23:30"
