"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-5.80","0.00","","92","0","0","","2","0","2.80","6.30","75","Пасмурно, небольшой снег","2026-01-13 00:00"
"-5.70","0.00","","91","0","0","","2","0","2.80","6.50","81","Пасмурно, небольшой снег","2026-01-13 01:00"
"-5.60","0.00","","92","0","0","","2","0","3.90","7.20","77","Пасмурно, небольшой снег","2026-01-13 02:00"
"-5.50","0.00","","91","0","0","","0","0","3.20","7.50","79","Пасмурно","2026-01-13 03:00"
"-5.60","0.00","","91","0","0","","0","0","2.60","6.30","80","Пасмурно","2026-01-13 04:00"
"-5.50","0.00","","91","0","0","","0","0","2.90","6.30","80","Пасмурно","2026-01-13 05:00"
"-5.30","0.00","","88","0","0","","0","0","2.80","6.20","79","Пасмурно","2026-01-13 06:00"
"-5.30","0.00","","88","0","0","","0","0","2.80","6.20","78","Пасмурно","2026-01-13 08:00"
"-4.80","0.00","","86","0","0","","2","0","2.80","6.40","72","Пасмурно, снежные зёрна","2026-01-13 09:00"
"-5.40","0.00","","93","0","0","","0","0","3.30","6.20","62","Пасмурно","2026-01-13 10:00"
"-5.40","0.00","","97","0","0","","0","0","3.30","6.60","61","Пасмурно","2026-01-13 11:00"
"-5.20","0.00","","95","0","0","","0","0","3.10","7.00","65","Пасмурно","2026-01-13 12:00"
"-5.30","0.00","","95","0","0","","0","0","3.20","5.90","60","Пасмурно","2026-01-13 13:00"
"-5.40","0.00","","97","0","0","","0","0","2.70","5.70","56","Пасмурно","2026-01-13 14:00"
"-5.30","0.00","","98","0","0","","2","0","2.20","5.70","50","Пасмурно, снежные зёрна","2026-01-13 15:00"
"-5.10","0.00","","99","0","0","","0","0","2.20","5.70","54","Пасмурно","2026-01-13 16:00"
"-4.90","0.00","","97","0","0","","2","0","2.20","5.20","51","Пасмурно, снежные зёрна","2026-01-13 17:00"
"-3.60","0.00","","93","0","0","","2","0","2.90","5.30","55","Пасмурно, снежные зёрна","2026-01-13 18:00"
"-3.50","0.00","","97","0","0","","2","0","4.20","6.60","71","Пасмурно, небольшой снег","2026-01-13 19:00"
"-3.20","0.00","","92","0","0","","2","0","4.40","7.70","72","Пасмурно, небольшой снег","2026-01-13 22:00"
"-3.80","0.00","","96","0","0","","2","0","4.50","7.90","75","Пасмурно, снежные зёрна","2026-01-13 23:00"
